Player,Team,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
OG Anunoby, TOR,74,20,0.587,11.6,9.5,11.8,3.4,10.4,7,10,-11.1,-0.4
Terrence Ross, ORL,24,25,0.505,13.9,10.6,16.4,1.8,11.6,6.7,9.96,-4.9,-0.2
Dillon Brooks, MEM,82,28.7,0.531,12.2,11.2,17.7,2.4,10.5,6.3,9.89,-21.4,-0.7
Evan Turner, POR,79,25.7,0.52,19.3,11,15.5,1.6,11.4,6.5,9.88,-18.9,-0.6
Luke Babbitt, ATL/MIA,50,14.3,0.576,11.3,6.9,14,1.1,13.9,7.5,9.87,-6.7,-0.2
Troy Daniels, PHX,79,20.5,0.583,6.8,7.9,16.2,0.8,7.7,4.2,9.86,-15.4,-0.5
Torrey Craig, DEN,39,16.1,0.535,12.7,10.1,11.6,7.2,15.5,11.4,9.86,-6,-0.2
Jonathan Isaac, ORL,27,19.8,0.465,9,13.4,14,3.3,17.2,10.2,9.85,-13.2,-0.4
Wesley Johnson, LAC,74,20.1,0.512,12,10.8,12.4,2.2,13.6,8,9.81,-15.3,-0.5
Ben McLemore, MEM,56,19.5,0.526,9.9,11.9,18,3.5,11.4,7.4,9.73,-12.6,-0.4
Avery Bradley, DET/LAC,46,31.2,0.496,11,11.8,23.2,1.7,7.4,4.5,9.71,-16.9,-0.6
C.J. Williams, LAC,38,18.6,0.512,16.1,7.5,13.3,1.9,6.8,4.4,9.56,-10,-0.3
Ian Clark, NO,74,19.6,0.529,16,8.3,16.4,0.8,8.4,4.7,9.45,-22.7,-0.8
Pat Connaughton, POR,82,18.1,0.539,16.7,7.9,13.1,2.7,9.1,5.9,9.35,-25.5,-0.8
Darius Miller, NO,82,23.7,0.617,16.2,8.5,12.2,1,7.9,4.6,9.32,-34.3,-1.1
Justin Jackson, SAC,68,22.1,0.521,13.5,7.3,13.6,2,12.6,7.1,9.25,-28.2,-0.9
Bryn Forbes, SA,80,19,0.525,12.4,5.7,16,0.9,7.2,4,9.19,-29.8,-1
Sterling Brown, MIL,54,14.4,0.503,9.4,9.4,13,4.1,17.5,10.8,9.13,-15.9,-0.5
Stanley Johnson, DET,69,27.4,0.48,13.8,9.5,15.8,1.9,13,7.3,9.08,-40.2,-1.3
Nik Stauskas, BKN/PHI,41,12.8,0.543,16.8,11.2,16.2,0.8,12.3,6.5,9.05,-11.3,-0.4
Alex Abrines, OKC,75,15.1,0.567,7.7,6.9,12.2,2.5,8.9,5.6,9.03,-24.8,-0.8
Malik Beasley, DEN,62,9.5,0.509,12.5,9.7,15.6,2.7,10.9,6.8,9.03,-12.8,-0.4
Treveon Graham, CHA,63,16.7,0.553,17.7,8.1,11.1,4.3,8.3,6.2,9,-23.5,-0.8
Jared Dudley, PHX,48,14.3,0.553,32,11.5,10.8,1.2,13.6,7.3,8.79,-17.5,-0.6
Alex Caruso, LAL,37,15.2,0.519,30.5,17.1,13.5,2.9,9.4,6.2,8.72,-15,-0.5
Matthew Dellavedova, MIL,38,18.7,0.5,40.5,13.7,14.8,2.3,8.2,5.3,8.64,-25.1,-0.8
Norman Powell, TOR,70,15.2,0.492,16.3,12.1,18.3,1.5,10.9,6.3,8.57,-30.5,-1
Tony Snell, MIL,75,27.4,0.578,16.9,6.2,10.1,0.5,7.5,4,8.49,-61.7,-2.1
JR Smith, CLE,80,28.1,0.534,16.8,9.6,13.3,1.5,10.1,5.9,8.48,-67.7,-2.3
PJ Tucker, HOU,82,27.8,0.537,12.5,12,9.9,4.6,17.8,11.3,8.36,-72.8,-2.4
Quincy Acy, BKN,70,19.4,0.525,11.2,11.8,13.6,3.1,17.1,10,8.23,-46.1,-1.5
Sindarius Thornwell, LAC,73,15.8,0.519,17.3,13.5,11.8,3.2,10,6.7,8.22,-39.4,-1.3
