Year,Player,Position,PosNum,Salary
2017,Jordan Bell,Center,5,"$815,615"
2017,Zhou Qi,Power Forward,4,"$815,615"
2017,Dakari Johnson,Center,5,"$815,615"
2017,Tyler Dorsey,Shooting Guard,2,"$815,615"
2017,Khem Birch,Center,5,"$815,615"
2017,Daniel Theis,Power Forward,4,"$815,615"
2017,Jawun Evans,Point Guard,1,"$815,615"
2017,Sindarius Thornwell,Shooting Guard,2,"$815,615"
2017,Trey Burke,Point Guard,1,"$784,160"
2017,Alex Poythress,Small Forward,3,"$778,668"
2017,Marco Belinelli,Shooting Guard,2,"$776,217"
2017,Joe Johnson,Shooting Guard,2,"$749,905"
2017,Dwight Buycks,Point Guard,1,"$748,160"
2017,Tyler Cavanaugh,Power Forward,4,"$679,919"
2017,Emeka Okafor,Center,5,"$592,030"
2017,DeAndre Liggins,Shooting Guard,2,"$588,120"
2017,Ersan Ilyasova,Power Forward,4,"$565,718"
2017,Corey Brewer,Shooting Guard,2,"$539,405"
2017,Trevor Booker,Power Forward,4,"$446,138"
2017,Derrick Rose,Point Guard,1,"$418,607"
2017,Ramon Sessions,Point Guard,1,"$355,218"
2017,Shabazz Muhammad,Small Forward,3,"$347,525"
2017,Kyle Collinsworth,Point Guard,1,"$290,304"
2017,Wade Baldwin,Point Guard,1,"$229,892"
2017,Troy Williams,Small Forward,3,"$222,476"
2017,Georgios Papagiannis,Center,5,"$185,397"
2017,Shaquille Harrison,Point Guard,1,"$175,000"
2017,Emeka Okafor,Center,5,"$157,875"
2017,Travis Wear,Small Forward,3,"$148,318"
2017,Antonius Cleveland,Shooting Guard,2,"$133,632"
2017,Ramon Sessions,Point Guard,1,"$131,562"
2017,Emeka Okafor,Center,5,"$131,562"
2017,Brandon Jennings,Point Guard,1,"$130,911"
2017,Brandon Rush,Shooting Guard,2,"$119,602"
2017,Brandon Jennings,Point Guard,1,"$119,010"
2017,Derrick Williams,Power Forward,4,"$104,059"
2017,Jaylen Morris,Point Guard,1,"$101,376"
2017,Aaron Harrison,Shooting Guard,2,"$91,442"
2017,DeAndre Liggins,Shooting Guard,2,"$89,109"
2017,MarShon Brooks,Shooting Guard,2,"$86,119"
2017,Sean Kilpatrick,Shooting Guard,2,"$86,119"
2017,Marquis Teague,Point Guard,1,"$83,129"
2017,Aaron Harrison,,,"$83,129"
2017,Rashad Vaughn,Shooting Guard,2,"$83,129"
2017,Travis Wear,,,"$74,159"
