Player,Team,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
Quincy Acy, DAL/BKN,38,14.7,0.565,7.6,8.9,17.8,3.9,18,11,11.87,11.4,0.4
Vince Carter, MEM,73,24.7,0.542,18.4,6.9,14.7,2.2,12.5,7.2,11.69,31.9,1.1
Lavoy Allen, IND,61,14.3,0.485,21.2,10.8,10.6,13.7,14.5,14.1,11.65,1.9,0.1
Alec Burks, UTAH,42,15.5,0.501,8.6,10.1,21.1,3.1,17.7,10.6,11.65,11.2,0.4
Allen Crabbe, POR,79,28.5,0.602,11,7.2,14.1,0.9,10.2,5.6,11.64,38.4,1.3
Kent Bazemore, ATL,73,26.9,0.504,16.1,11.4,19.7,2.6,10.3,6.5,11.6,32.3,1.1
KJ McDaniels, HOU/BKN,49,10.3,0.555,5.7,12.7,15.2,3.2,14.1,8.7,11.59,8.2,0.3
Leandro Barbosa, PHX,67,14.4,0.509,15,8.9,19.4,1.6,10.3,5.9,11.53,14.8,0.5
Jameer Nelson, DEN,75,27.3,0.544,33.6,11.2,17,1.5,8.8,5.2,11.52,15.8,0.5
Pascal Siakam, TOR,55,15.6,0.523,6.3,12.3,12.2,8.4,15.9,12.2,11.52,0.2,0
Ed Davis, POR,46,17.2,0.563,10.8,15.4,11.3,13.4,20.9,17.1,11.5,0,0
Glenn Robinson III, IND,69,20.7,0.564,10.3,8.1,12,4.5,14.6,9.6,11.49,21.1,0.7
Evan Turner, POR,65,25.5,0.491,22.7,11.1,18.4,2.4,14.2,8.3,11.48,24.2,0.8
Austin Rivers, LAC,74,27.8,0.545,18,10.1,19.5,1.1,7.5,4.4,11.44,13.6,0.5
Al-Farouq Aminu, POR,61,29.1,0.505,13.8,13.1,14.7,4.8,23.5,14.1,11.31,21.3,0.7
Garrett Temple, SAC,65,26.6,0.545,23.6,11,14.1,2.2,10.1,6.2,11.19,17.8,0.6
Anthony Tolliver, SAC,65,22.7,0.595,14.8,10.8,12.9,4,14.4,9.3,11.17,-7.3,-0.2
Sergio Rodriguez, PHI,68,22.3,0.484,33.7,12.6,20.4,1.5,9.9,5.7,11.13,2.9,0.1
D.J. Augustin, ORL,78,19.7,0.524,23.6,10.1,19.4,1,7.4,4.1,11.01,0.2,0
Nemanja Bjelica, MIN,65,18.3,0.526,15.2,11.3,16,5.5,18.6,12,11,-8.9,-0.3
Emmanuel Mudiay, DEN,55,25.6,0.483,22.5,12.8,22.9,2.3,11.6,7,10.95,-1.1,0
Tyler Ennis, HOU/LAL,53,11.1,0.521,24.6,12.9,19.8,1.6,6.8,4.2,10.94,-0.5,0
Raymond Felton, LAC,80,21.3,0.496,23.4,10.2,16.3,2.2,11.9,7.2,10.9,-2.5,-0.1
Shelvin Mack, UTAH,55,21.9,0.518,23.4,13.7,19.5,2,9.8,6,10.9,-1.8,-0.1
Terry Rozier, BOS,74,17.1,0.466,21.2,7.6,16.7,3.6,16.3,10,10.9,-1.9,-0.1
Trey Burke, WSH,57,12.3,0.532,24.1,11.5,19.7,1.1,6.4,3.8,10.9,-1.1,0
Gerald Henderson, PHI,72,23.2,0.53,14,7.9,17,2.2,10,6.1,10.81,7.7,0.3
Patrick Patterson, TOR,65,24.6,0.542,14.5,7.2,12,4.4,16.3,10.4,10.8,-16.8,-0.6
Noah Vonleh, POR,74,17.1,0.525,7.6,15.8,12.2,11.4,22.5,17,10.78,-13.6,-0.5
Doug McDermott, CHI/OKC,66,22.8,0.554,9.2,6,16.9,1.4,11.5,6.4,10.77,6.1,0.2
Nicolas Brussino, DAL,54,9.6,0.498,21,11.6,15.5,5.5,15.9,10.5,10.75,2,0.1
Derrick Williams, CLE/MIA,50,16.1,0.537,8.3,8.3,13.4,2.6,15.1,8.9,10.72,-9.3,-0.3
Josh Richardson, MIA,53,30.5,0.493,18.5,8.7,16.5,2.4,9.2,5.8,10.71,5.1,0.2
James Ennis III, MEM,64,23.5,0.581,13,12,12.5,5.1,14.9,9.9,10.62,2.6,0.1
Jared Dudley, PHX,64,21.3,0.579,21.3,12.8,13.8,2.4,15.9,9,10.58,1.6,0.1
Jeff Green, ORL,69,22.2,0.505,10.3,9.5,19.1,2.7,12.8,7.6,10.57,1.7,0.1
PJ Tucker, PHX/TOR,81,27.6,0.516,14.4,9.6,11,5.6,17.7,11.6,10.54,1.5,0
Troy Daniels, MEM,67,17.7,0.531,7.5,7.4,20.4,2.1,7.8,4.8,10.48,-0.3,0
Marcus Thornton, WSH,33,17.4,0.494,14.2,8.7,18,4.3,10.5,7.5,10.44,0,0
Langston Galloway, NO/SAC,74,20.2,0.51,13.1,6.5,18.1,1.9,9.3,5.6,10.41,-2,-0.1
Matt Barnes, GS/SAC,74,24,0.514,24,13.1,13.1,4.6,19.7,12.3,10.36,-3.8,-0.1
Jaylen Brown, BOS,78,17.2,0.539,10.5,11.2,16.8,3.8,14.4,9.1,10.33,-3.4,-0.1
Luc Mbah a Moute, LAC,80,22.3,0.581,7.8,9.2,10.7,2.8,7.7,5.3,10.25,-33.4,-1.1
Dante Cunningham, NO,66,25,0.586,8.5,6.4,9.8,3.6,14.2,8.9,10.2,-31.9,-1.1
Danny Green, SA,68,26.6,0.537,18.7,11.5,13.2,2,11.8,7,10.16,-9.1,-0.3
Jerami Grant, PHI/OKC,80,19.1,0.556,9.5,9.1,22.4,2.7,12.1,7.4,10.14,-8.3,-0.3
Luol Deng, LAL,56,26.5,0.47,13,7.6,13.7,4.5,17.7,10.8,10.13,-8.2,-0.3
Alex Abrines, OKC,68,15.5,0.56,9.2,7.6,15.2,1.9,7.1,4.5,10.11,-6.1,-0.2
Mike Dunleavy, ATL/CLE,53,15.9,0.573,15.7,8.8,13.8,2.4,12.5,7.6,10.11,-4.9,-0.2
Shaun Livingston, GS,76,17.7,0.568,25.6,11.4,12.9,2.4,9.4,6.2,10.1,-18,-0.6
Anthony Morrow, CHI/OKC,49,14.6,0.505,8.4,2,16.6,1.9,2.9,2.4,10.09,-4.4,-0.1
Monta Ellis, IND,74,27,0.514,24,13.7,16.7,1.1,10.3,5.7,9.99,-15.3,-0.5
Omri Casspi, NO/MIN/SAC,36,17.9,0.523,15.2,11.9,18.1,0,0,0,9.98,-5,-0.2
Trey Lyles, UTAH,71,16.3,0.464,11.4,10.5,20.4,4.9,18.1,11.7,9.97,-26.5,-0.9
Michael Carter-Williams, CHI,45,18.8,0.437,21.8,12.7,21.2,3,16.6,9.8,9.92,-13.7,-0.5
Jonathon Simmons, SA,78,17.8,0.504,18.5,11.2,17.6,1.7,11.1,6.5,9.91,-12.3,-0.4
Taurean Prince, ATL,59,16.6,0.513,12.4,13.8,16.4,2.8,14.6,8.8,9.88,-9.1,-0.3
Ben McLemore, SAC,61,19.3,0.538,8.9,10.8,18.6,1.9,10.6,6.3,9.87,-11,-0.4
Tony Snell, MIL,80,29.2,0.603,13.4,7.7,11.4,1.1,11.1,6.2,9.75,-26.3,-0.9
Andre Roberson, OKC,79,30.1,0.51,12.3,7.9,9.7,4.6,14.2,9.4,9.64,-30.6,-1
Aaron Brooks, IND,65,13.8,0.507,24.6,12.8,19.1,2.3,6.3,4.3,9.62,-18.5,-0.6
Rodney Stuckey, IND,39,17.8,0.483,19.6,12.4,21.5,1,12.4,6.8,9.53,0,0
Matthew Dellavedova, MIL,76,26.1,0.501,33.5,12.5,17,1.4,7.1,4.3,9.44,-46.2,-1.5
Andrew Bogut, CLE/DAL,27,21.6,0.46,27.6,24.2,0,10.6,33.9,21.7,9.31,0,0
C.J. Watson, ORL,62,16.3,0.507,26,10.7,14.2,1.7,8.1,4.8,9.3,-25.7,-0.9
Jonas Jerebko, BOS,78,15.8,0.537,18.3,10,11,5.4,19.1,12.3,9.29,-40.7,-1.4
Corey Brewer, HOU/LAL,82,15.6,0.491,18.3,10.4,12.6,2.7,11.5,7.1,9.16,-25.6,-0.9
Jason Terry, MIL,74,18.4,0.6,25.1,9.2,9.7,1.3,7.7,4.5,9.11,-28.2,-0.9
Kelly Oubre Jr., WSH,79,20.3,0.516,8.1,8.6,13.6,4.3,14,9.2,9.1,-33.6,-1.1
Rodney McGruder, MIA,78,25.2,0.506,18.5,8.3,12.1,5.2,9.2,7.2,9.09,-41.3,-1.4
Iman Shumpert, CLE,76,25.5,0.536,15.2,10.9,13.3,2.3,9.9,6.2,9.06,-41.5,-1.4
Troy Williams, HOU/MEM,30,18.6,0.511,10.5,13.4,15.3,3,11.2,7,9.06,-12,-0.4
Nik Stauskas, PHI,80,27.4,0.54,18.5,12.6,15.9,1.1,10.3,5.7,9.05,-47.3,-1.6
Boris Diaw, UTAH,73,17.6,0.494,28.4,14.5,16,4.3,9.8,7.1,9.04,-29.8,-1
Joe Harris, BKN,52,21.9,0.558,11,11.2,15.3,1.5,12,6.8,9.04,-24.8,-0.8
Arron Afflalo, SAC,61,25.9,0.559,13.4,7.2,13.6,0.7,8.4,4.6,9.02,-35,-1.2
Meyers Leonard, POR,74,16.5,0.507,14.2,7,14.8,2.4,19.1,10.8,8.96,-46.3,-1.5
Jose Calderon, ATL/LAL,41,13.1,0.506,32.8,15.3,14.1,3,12.1,7.5,8.94,-16.6,-0.6
Mirza Teletovic, MIL,70,16.2,0.515,9.2,7.1,17.7,1.1,15.4,8.3,8.81,-45.4,-1.5
Jarell Martin, MEM,42,13.3,0.477,3.8,13.4,15.2,8.4,25.3,16.6,8.74,-23,-0.8
Andrew Harrison, MEM,72,20.5,0.477,27.2,11.7,16.9,1.7,9,5.3,8.69,-50.9,-1.7
Patrick McCaw, GS,71,15.1,0.54,20.6,9.6,11.6,2.3,7.6,5.1,8.6,-38.5,-1.3
Dante Exum, UTAH,66,18.6,0.521,18.9,13.6,17.6,2.9,9.3,6.2,8.58,-44.3,-1.5
Brandon Ingram, LAL,79,28.8,0.474,15.6,10.9,16.4,2.8,12.7,7.6,8.56,-66.1,-2.2
Timothe Luwawu-Cabarrot, PHI,69,17.2,0.536,13.3,13,16.9,2.3,11.5,6.9,8.51,-35.3,-1.2
Tomas Satoransky, WSH,57,12.6,0.477,31.6,13,12.7,3.9,9.1,6.5,8.49,-21.5,-0.7
Wesley Johnson, LAC,68,11.9,0.448,9.3,7.2,11.6,3.7,20.9,12.5,8.41,-25.3,-0.8
Lance Thomas, NY,46,21,0.516,10.7,7.7,12.5,3.6,12.3,7.9,8.39,-30.5,-1
Luke Babbitt, MIA,68,15.7,0.563,10.3,7.2,12.3,1.2,13.5,7.3,8.32,-34.7,-1.2
Richard Jefferson, CLE,79,20.4,0.574,15,10,11.7,2,11.6,6.9,8.29,-53.3,-1.8
Justise Winslow, MIA,18,34.7,0.399,19.1,9.6,19.5,4,12.7,8.3,8.2,-21.5,-0.7
Kris Dunn, MIN,78,17.1,0.432,30.5,14.4,15,2.1,12.6,7.3,8.13,-57,-1.9
Isaiah Canaan, CHI,39,15.2,0.483,15.1,8.6,15.1,1.1,8.1,4.6,8.12,-25.5,-0.8
JR Smith, CLE,41,29,0.484,13.8,5.8,13.8,1.6,8.6,5.2,8.11,-42.4,-1.4
Solomon Hill, NO,80,29.7,0.527,18.6,10.8,11,2.3,11.4,6.8,8.06,-86.5,-2.9
Hollis Thompson, NO/PHI,40,18.8,0.482,13.5,4.3,10.3,2.7,13.5,8.1,7.93,0,0
Chandler Parsons, MEM,34,19.9,0.436,17.2,7.5,17.5,1,13.6,7.1,7.69,-28.3,-0.9
Dorian Finney-Smith, DAL,81,20.3,0.486,14.2,9.5,10.9,3.7,12.4,7.9,7.68,-69.1,-2.3
Isaiah Whitehead, BKN,73,22.5,0.487,21.5,15.9,17.7,2.1,9.7,5.9,7.59,-83.6,-2.8
Malcolm Delaney, ATL,73,17.1,0.456,26.9,13.3,18.6,0.9,9.8,5.4,7.56,-64.1,-2.1
Ron Baker, NY,52,16.5,0.456,26.8,14,15.3,1.5,10.8,6.2,7.51,-38.2,-1.3
DeAndre Liggins, CLE/DAL,62,12.5,0.476,21.1,16.4,11.3,2.9,12.1,7.7,7.51,-34.7,-1.2
Randy Foye, BKN,69,18.6,0.506,23.8,14.1,14.2,0.8,11.9,6.4,7.33,-60.8,-2
Denzel Valentine, CHI,57,17.1,0.492,15.4,12,15.1,1.2,15.6,8.3,7.32,-46.4,-1.5
Mario Hezonja, ORL,65,14.8,0.45,13.1,12.3,17.9,2.2,14.7,8.3,7.27,-46.3,-1.5
Stanley Johnson, DET,77,17.8,0.437,18.6,12.6,14.7,2.8,12.7,7.5,7.18,-68,-2.3
Paul Zipser, CHI,44,19.2,0.503,11.4,12.7,13.9,1.9,14.2,8,6.99,-44.2,-1.5
Domantas Sabonis, OKC,81,20.1,0.469,12.1,12.3,15,3.1,16.5,9.8,6.93,-111.4,-3.7
Brandon Rush, MIN,47,21.9,0.505,16.8,10.5,9.4,1.8,9.5,5.6,6.62,-59.7,-2
Semaj Christon, OKC,64,15.2,0.387,31.7,10.5,13,2.2,7.9,5,5.72,-76.7,-2.6
Dragan Bender, PHX,43,13.3,0.44,10.4,14.5,13.7,4.2,15.6,9.7,5.32,-53,-1.8
